,Account Name,Tweet Date,Tweet ID,Text,Favorite Count,Retweet Count,Language,Account Created Date,Followers Count,Account Location,Compound,Positive,Negative,Neutral
74,Bchen2017,Tue Mar 13 00:05:24 +0000 2018,973349271075467265,Happiness Tweets: 1520899524.710804 653:The happiness of your life depends upon the quality of your thoughts. - Marcus Aurelius,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.802,0.324,0.0,0.676
75,Bchen2017,Tue Mar 13 00:00:41 +0000 2018,973348080992079873,Happiness Tweets: 12:For every minute you are angry you lose sixty seconds of happiness. - Ralph Waldo Emerson,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.296,0.275,0.229,0.496
76,Bchen2017,Mon Mar 12 23:59:47 +0000 2018,973347856122892289,Happiness Tweets: 7:Now and then it's good to pause in our pursuit of happiness and just be happy. - Guillaume Apollinaire,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.93,0.463,0.0,0.537
77,Bchen2017,Mon Mar 12 23:57:28 +0000 2018,973347274398031873,Happiness Tweets: 6:The happiness of your life depends upon the quality of your thoughts. - Marcus Aurelius,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.802,0.34,0.0,0.66
78,Bchen2017,Mon Mar 12 23:54:47 +0000 2018,973346597517000704,Happiness Tweets: Now and then it's good to pause in our pursuit of happiness and just be happy. - Guillaume Apollinaire,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.93,0.463,0.0,0.537
79,Bchen2017,Mon Mar 12 23:44:41 +0000 2018,973344055773028352,"This is tweet #5, but with a timer man!",0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.0,0.0,0.0,1.0
80,Bchen2017,Mon Mar 12 23:43:41 +0000 2018,973343802814550016,"This is tweet #4, but with a timer man!",0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.0,0.0,0.0,1.0
81,Bchen2017,Mon Mar 12 23:42:39 +0000 2018,973343546135769088,"This is tweet #3, but with a timer man!",0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.0,0.0,0.0,1.0
82,Bchen2017,Mon Mar 12 23:41:39 +0000 2018,973343293269569536,"This is tweet #2, but with a timer man!",0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.0,0.0,0.0,1.0
83,Bchen2017,Sat Mar 10 19:52:12 +0000 2018,972560775574376449,"Ha,I just add 3 friends with Python code!",0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.5255,0.361,0.0,0.639
84,Bchen2017,Sat Mar 10 19:47:00 +0000 2018,972559463780683777,This tweet is also from Python. Now I can tweet images! https://t.co/RPRE0Q7mhY,2,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.0,0.0,0.0,1.0
85,Bchen2017,Sat Mar 10 19:39:04 +0000 2018,972557470655766529,"Yes, This is so cool!",0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.717,0.666,0.0,0.334
86,Bchen2017,Sat Mar 10 19:39:04 +0000 2018,972557469460426754,I am tweeting this from Python.,0,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.0,0.0,0.0,1.0
87,Bchen2017,Thu Mar 08 00:36:51 +0000 2018,971545244679458816,Twitter Analytics! @travisdoesmath,1,0,en,Thu Aug 10 16:02:37 +0000 2017,5,,0.0,0.0,0.0,1.0
